Date,Series
2025-12-03,26253
2025-12-10,26251
2025-12-10,26254
2025-12-17,26251
2025-12-17,26253
2025-12-24,26250
2025-12-24,26252
2026-01-14,26225
2026-01-14,26253
2026-01-21,26230
2026-01-21,26228
2026-01-28,26235
2026-01-28,26254
2026-02-04,26251
2026-02-04,26253
2026-02-11,26250
2026-02-11,26249
2026-02-18,26254
2026-02-18,26245
2026-02-25,26253
2026-02-25,26252
2026-03-04,26246
2026-03-04,26218
2026-03-11,26254
2026-03-11,26244
2026-03-18,26238
2026-03-18,26250
2026-03-25,26230
2026-03-25,26245
2026-04-01,26249
2026-04-08,26235
2026-04-08,26254
2026-04-15,26253
2026-04-15,26244
2026-04-22,26245
2026-04-22,26254
2026-04-29,26218
2026-04-29,23238
2026-05-06,23235
2026-05-06,26240
2026-05-13,26253
2026-05-13,26249
2026-05-20,26252
2026-05-20,20228
2026-05-27,26251
2026-05-27,26230
