Strategy,Event Date,Auction Series,Series,Entry Date,Exit Date,Entry Close,Exit Close,Return (%),Basket Avg Return (%),Rate (%),Forecast (%),Previous (%)
A_Auctions,2025-12-03,26253,26230,2025-12-01,2025-12-10,62.555,63.349,1.2692830309327663,1.4638032756628894,,,
A_Auctions,2025-12-03,26253,26238,2025-12-01,2025-12-10,58.894,59.799,1.5366590824192672,1.4638032756628894,,,
A_Auctions,2025-12-03,26253,26240,2025-12-01,2025-12-10,61.34,62.676,2.1780241278121837,1.4638032756628894,,,
A_Auctions,2025-12-03,26253,26244,2025-12-01,2025-12-10,85.803,87.078,1.4859620292996922,1.4638032756628894,,,
A_Auctions,2025-12-03,26253,26245,2025-12-01,2025-12-10,88.545,89.453,1.0254672765260597,1.4638032756628894,,,
A_Auctions,2025-12-03,26253,26249,2025-12-01,2025-12-10,86.141,87.25,1.287424106987367,1.4638032756628894,,,
A_Auctions,2025-12-10,26251,26230,2025-12-08,2025-12-17,63.325,63.91,0.9238057639162855,0.6137001155952096,,,
A_Auctions,2025-12-10,26251,26238,2025-12-08,2025-12-17,59.7,60.249,0.9195979899497386,0.6137001155952096,,,
A_Auctions,2025-12-10,26251,26240,2025-12-08,2025-12-17,62.625,62.92,0.4710578842315405,0.6137001155952096,,,
A_Auctions,2025-12-10,26251,26244,2025-12-08,2025-12-17,87.049,87.751,0.8064423485623085,0.6137001155952096,,,
A_Auctions,2025-12-10,26251,26245,2025-12-08,2025-12-17,89.271,89.469,0.2217965520717735,0.6137001155952096,,,
A_Auctions,2025-12-10,26251,26249,2025-12-08,2025-12-17,87.187,87.483,0.3395001548396115,0.6137001155952096,,,
A_Auctions,2025-12-10,26254,26230,2025-12-08,2025-12-17,63.325,63.91,0.9238057639162855,0.6137001155952096,,,
A_Auctions,2025-12-10,26254,26238,2025-12-08,2025-12-17,59.7,60.249,0.9195979899497386,0.6137001155952096,,,
A_Auctions,2025-12-10,26254,26240,2025-12-08,2025-12-17,62.625,62.92,0.4710578842315405,0.6137001155952096,,,
A_Auctions,2025-12-10,26254,26244,2025-12-08,2025-12-17,87.049,87.751,0.8064423485623085,0.6137001155952096,,,
A_Auctions,2025-12-10,26254,26245,2025-12-08,2025-12-17,89.271,89.469,0.2217965520717735,0.6137001155952096,,,
A_Auctions,2025-12-10,26254,26249,2025-12-08,2025-12-17,87.187,87.483,0.3395001548396115,0.6137001155952096,,,
A_Auctions,2025-12-17,26251,26230,2025-12-15,2025-12-24,63.96,63.478,-0.7535959974984352,-0.9363756560007578,,,
